CODE,EVENT.PASS,SINGLE.CAM,MOVEMENT,CAM.FUNCT,DUAL.PRESENCE,SINGLE.RECORDED,WET.DRY,TEMPERATURE,DATE,TIME,D.COUNT,S.COUNT,D.AD.COUNT,S.AD.COUNT,D.SEX,D.AD.SEX,S.AD.SEX,D.SPRAINT,S.SPRAINT,D.VOCAL,S.VOCAL,D.BEDDING,S.BEDDING,D.PLAY,S.PLAY,D.LOAF,S.LOAF,D.GROOMROLL,S.GROOMROLL,D.BEH.COUNT,S.BEH.COUNT
F1.1829,37,CLOSE,IN,y,1,1,W,-2,27/04/2015,01:03,2,2,1,1,F,F,F,0,0,1,1,0,0,0,0,0,0,0,0,1,1
F1.1829,37,ROSE,IN,y,1,1,W,-2,27/04/2015,01:03,2,2,1,1,F,F,U,0,0,1,1,0,0,0,0,0,0,0,0,1,1
F1.824,38,CLOSE,OUT,y,1,1,W,1,22/03/2011,22:20,3,3,1,1,F,F,F,0,0,1,1,0,0,0,0,1,1,0,0,2,2
F1.824,38,ROSE,OUT,y,1,1,U,1,22/03/2011,22:20,3,3,1,1,F,F,F,0,0,1,0,0,0,0,0,1,0,0,0,2,0
F1.871,39,CLOSE,IN,y,1,1,U,3,23/02/2011,23:19,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,1,1,1,1
F1.871,39,ROSE,IN,y,1,1,U,3,23/02/2011,23:19,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,1,1,1,1
f1.158,40,CLOSE,IN,y,1,1,u,1,23/01/2014,06:56,1,1,1,1,U,U,U,1,0,0,0,0,0,0,0,0,0,0,0,1,0
f1.158,40,ROSE,IN,y,1,1,u,1,23/01/2014,06:56,1,1,1,1,U,U,U,1,1,0,0,0,0,0,0,0,0,0,0,1,1
F1.840,41,CLOSE,OUT,y,1,1,W,-3,08/03/2011,02:34,3,3,1,1,F,F,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.840,41,ROSE,OUT,y,1,1,W,-3,08/03/2011,02:34,3,3,1,1,F,F,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1.1808,42,CLOSE,OUT,y,1,1,D,8,14/04/2015,19:26,1,1,1,1,U,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
