EVENT,LAST.EVENT,INTERVAL,MINS.IN.HOLT,CUBS.PRES,UNPAIRED.REST,EXIT.FROM.REST,SCENT.AR,SCENT.DEP,DAYS.SINCE.CHECK,FUNCTION,PRES.ABS
16/02/2012,15/02/2012,1,0,0,,,,,14,MR,1
17/02/2012,16/02/2012,1,0,0,,1,,,0,ER,1
19/02/2012,17/02/2012,2,869,0,,,,,2,ER,1
20/02/2012,19/02/2012,1,33,0,,,,1,3,ER,1
21/02/2012,20/02/2012,1,0,0,,,,,4,ER,1
24/02/2012,21/02/2012,3,8.999999998,0,,,1,,7,ER,1
26/02/2012,24/02/2012,2,2.000000007,0,,,,,9,ER,1
27/02/2012,26/02/2012,1,0,0,,,,,10,ER,1
01/03/2012,27/02/2012,3,0,0,,,,,1,ER,1
02/03/2012,01/03/2012,1,0,0,,,1,,2,MR,1
04/03/2012,02/03/2012,2,0,0,,,1,,4,MR,1
09/03/2012,04/03/2012,5,833,0,,,,,9,MR,1
10/03/2012,09/03/2012,1,101,0,,,,,10,MR,1
15/03/2012,10/03/2012,5,1.000000003,0,,,,,15,MR,1
16/03/2012,15/03/2012,1,912,0,,,1,,0,MR,1
18/03/2012,16/03/2012,2,760,0,,,,,2,MR,1
19/03/2012,18/03/2012,1,799,1,,,,,3,MR,1
23/03/2012,19/03/2012,4,956,1,,,,,7,MR,1
27/03/2012,23/03/2012,4,1020,1,,,2,,11,MR,1
31/03/2012,27/03/2012,4,1111,1,,,,2,15,MR,1
20/04/2012,19/04/2012,1,898,0,,,1,1,4,MR,1
23/04/2012,20/04/2012,3,804,1,,,,,7,MR,1
25/04/2012,23/04/2012,2,883,0,,,,,9,MR,1
29/04/2012,25/04/2012,4,1052,1,,,,2,13,MR,1
01/05/2012,29/04/2012,2,937,1,,,,,15,MR,1
04/05/2012,01/05/2012,3,950,0,,,1,,18,LR,1
06/05/2012,04/05/2012,2,1002,1,,,,,0,LR,1
11/05/2012,06/05/2012,5,92.00000001,1,,,,,5,LR,1
14/05/2012,11/05/2012,3,932,1,,,,,8,LR,1
15/05/2012,14/05/2012,1,7.000000002,0,,,,,9,LR,1
17/05/2012,15/05/2012,2,996,1,,,,,11,LR,1
18/05/2012,17/05/2012,1,1113,1,,,,,12,LR,1
26/05/2012,18/05/2012,8,1049,0,,,2,,20,LR,1
28/05/2012,26/05/2012,2,1077,0,,,,,22,LR,1
01/06/2012,28/05/2012,4,960,1,,,,,2,LR,1
09/06/2012,01/06/2012,8,843,1,,,,,10,LR,1
11/06/2012,09/06/2012,2,781,0,,,,,12,LR,1
12/06/2012,11/06/2012,1,1001,0,,,1,,13,LR,1
13/06/2012,12/06/2012,1,1023,1,,,,,14,LR,1
17/06/2012,13/06/2012,4,978,1,,,,2,3,LR,1
20/06/2012,17/06/2012,3,123,0,,,,,6,LR,1
21/06/2012,20/06/2012,1,0,1,,1,,1,7,LR,1
23/06/2012,21/06/2012,2,4.000000003,0,,,1,,9,LR,1
26/06/2012,23/06/2012,3,976,0,,,,1,12,LR,1
02/07/2012,26/06/2012,6,0,0,,,1,,3,C,1
04/07/2012,02/07/2012,2,749,1,,,,,5,C,1
05/07/2012,04/07/2012,1,701,1,,,,,6,C,1
07/07/2012,05/07/2012,2,0,0,,,,,8,C,1
10/07/2012,07/07/2012,3,837,1,,,,,11,C,1
24/08/2012,21/08/2012,3,2.000000007,0,,,,,7,C,1
27/08/2012,24/08/2012,3,0,0,,,,,10,C,1
28/08/2012,27/08/2012,1,4.000000003,0,,,,1,11,C,1
29/08/2012,28/08/2012,1,2.999999999,0,,,,,12,C,1
