Date,Date2,INTERVAL,MINS.IN.HOLT,CUBS.PRES,UNPAIRED.REST,EXIT.FROM.REST,Count of SCENT.AR,Count of SCENT.DEP,DAYS.SINCE.CHECK,FUNCTION,PRES.ABS,CAMS1.NOCAMS0,REST
21/01/2011,20/01/2011,1,793,0,,1,,,2,N,1,1,1
22/01/2011,21/01/2011,1,0,0,865,,,,3,N,1,1,1
23/01/2011,22/01/2011,1,0,0,781,,,,4,N,1,1,1
24/01/2011,23/01/2011,1,0,0,749,,,,5,N,1,1,1
25/01/2011,24/01/2011,1,4.000000003,0,,1,1,,6,N,1,1,1
26/01/2011,25/01/2011,1,0,0,777,,,,7,N,1,1,1
27/01/2011,26/01/2011,1,0,0,,1,,,8,N,1,1,1
28/01/2011,27/01/2011,1,0,0,785,,,,9,N,1,1,1
29/01/2011,28/01/2011,1,0,0,858,,,,10,N,1,1,1
30/01/2011,29/01/2011,1,0,0,,1,,,11,N,1,1,1
31/01/2011,30/01/2011,1,0,0,,1,,,12,N,1,1,1
01/02/2011,31/01/2011,1,0,0,829,,,,13,N,1,1,1
02/02/2011,01/02/2011,1,815,0,,,1,,0,N,1,1,1
04/02/2011,02/02/2011,2,0,0,722,,,,2,N,1,1,1
05/02/2011,04/02/2011,1,0,0,832,,,,3,N,1,1,1
06/02/2011,05/02/2011,1,0,0,815,,,,4,N,1,1,1
07/02/2011,06/02/2011,1,0,0,,1,,,5,N,1,1,1
08/02/2011,07/02/2011,1,0,0,,1,,,6,N,1,1,1
09/02/2011,08/02/2011,1,0,0,,1,,,7,N,1,1,1
10/02/2011,09/02/2011,1,778,0,,,,,1,N,1,1,1
11/02/2011,10/02/2011,1,0,0,,1,1,,2,N,1,1,1
13/02/2011,11/02/2011,2,0,0,,1,,,4,N,1,1,1
14/02/2011,13/02/2011,1,749,0,,1,1,,5,N,1,1,1
15/02/2011,14/02/2011,1,1099,0,,,,,6,N,1,1,1
16/02/2011,15/02/2011,1,794,0,,,,,7,N,1,1,1
19/02/2011,16/02/2011,3,710,0,,,1,,10,N,1,1,1
20/02/2011,19/02/2011,1,938,0,,,,,11,N,1,1,1
21/02/2011,20/02/2011,1,822,1,,,,,12,ER,1,1,1
22/02/2011,21/02/2011,1,883,0,,,,,13,ER,1,1,1
23/02/2011,22/02/2011,1,755,1,,,,,0,ER,1,1,1
24/02/2011,23/02/2011,1,0,1,,1,,,1,ER,1,1,1
25/02/2011,24/02/2011,1,723,0,,,,,2,ER,1,1,1
26/02/2011,25/02/2011,1,692,0,,,,,3,ER,1,1,1
27/02/2011,26/02/2011,1,850,0,,,1,,4,ER,1,1,1
03/03/2011,27/02/2011,4,833,0,,,1,,8,ER,1,1,1
05/03/2011,03/03/2011,2,952,0,,,,,0,ER,1,1,1
06/03/2011,05/03/2011,1,780,0,,,,,1,ER,1,1,1
07/03/2011,06/03/2011,1,1265,1,,,,,2,ER,1,1,1
08/03/2011,07/03/2011,1,846,1,,,,,3,ER,1,1,1
09/03/2011,08/03/2011,1,1062,1,,,,,4,ER,1,1,1
10/03/2011,09/03/2011,1,1109,1,,,2,,5,ER,1,1,1
11/03/2011,10/03/2011,1,2503,1,,,,,6,ER,1,1,1
12/03/2011,11/03/2011,1,989,0,,,1,,7,ER,1,1,1
13/03/2011,12/03/2011,1,1152,1,,,1,,8,ER,1,1,1
15/03/2011,13/03/2011,2,838,0,,,,,1,ER,1,1,1
16/03/2011,15/03/2011,1,917,1,,,,,2,ER,1,1,1
17/03/2011,16/03/2011,1,53.00000001,0,,,,,3,ER,1,1,1
19/03/2011,17/03/2011,2,830,1,,,,1,5,ER,1,1,1
22/03/2011,19/03/2011,3,956,1,,,,1,4,ER,1,1,1
23/03/2011,22/03/2011,1,1016,1,,,,1,5,ER,1,1,1
25/03/2011,23/03/2011,2,857,0,,,,,7,ER,1,1,1
06/04/2011,25/03/2011,12,1126,1,,,1,1,9,ER,1,1,1
09/04/2011,06/04/2011,3,1214,1,,,,1,12,ER,1,1,1
10/04/2011,09/04/2011,1,1173,1,,,,3,13,ER,1,1,1
11/04/2011,10/04/2011,1,813,0,,,1,1,14,ER,1,1,1
14/04/2011,11/04/2011,3,1040,1,,,,,17,ER,1,1,1
17/04/2011,14/04/2011,3,1031,1,,1,,,2,ER,1,1,1
18/04/2011,17/04/2011,1,880,1,,,,2,3,ER,1,1,1
21/04/2011,18/04/2011,3,923,1,,,,,6,ER,1,1,1
25/04/2011,21/04/2011,4,901,1,,,,,10,MR,1,1,1
28/04/2011,25/04/2011,3,96.99999999,1,919,,,,0,MR,1,1,1
29/04/2011,28/04/2011,1,889,1,,,,,1,MR,1,1,1
03/05/2011,29/04/2011,4,869,1,,,,1,5,MR,1,1,1
10/05/2011,03/05/2011,7,816,1,,,,,12,MR,1,1,1
23/05/2011,10/05/2011,13,0,1,,1,,,10,MR,1,1,1
26/05/2011,23/05/2011,3,0,1,,1,,,13,MR,1,1,1
15/01/2012,13/01/2012,2,8.000000005,1,,1,,,11,ER,1,1,1
29/01/2012,15/01/2012,14,21.00000001,0,,,,,10,ER,1,1,1
30/01/2012,29/01/2012,1,629,0,,,2,1,11,ER,1,1,1
01/02/2012,30/01/2012,2,976,0,,,1,,13,ER,1,1,1
02/02/2012,01/02/2012,1,0,0,,1,,,0,ER,1,1,1
04/02/2012,02/02/2012,2,322,0,,,1,,2,ER,1,1,1
06/02/2012,04/02/2012,2,788,0,,,,,4,ER,1,1,1
07/02/2012,06/02/2012,1,651,0,,,1,2,5,ER,1,1,1
08/02/2012,07/02/2012,1,819,0,,,,,6,ER,1,1,1
11/02/2012,08/02/2012,3,318,0,,1,2,1,9,ER,1,1,1
12/02/2012,11/02/2012,1,823,0,,,,,10,ER,1,1,1
13/02/2012,12/02/2012,1,815,0,,,,,11,ER,1,1,1
14/02/2012,13/02/2012,1,862,0,,,,,12,MR,1,1,1
17/02/2012,14/02/2012,3,0,0,,1,,,0,ER,1,1,1
19/02/2012,17/02/2012,2,869,0,,,,,2,ER,1,1,1
20/02/2012,19/02/2012,1,33,0,,,,1,3,ER,1,1,1
09/03/2012,20/02/2012,18,833,0,,,,,9,MR,1,1,1
10/03/2012,09/03/2012,1,101,0,,,,,10,MR,1,1,1
16/03/2012,10/03/2012,6,912,0,,,1,,0,MR,1,1,1
18/03/2012,16/03/2012,2,760,0,,,,,2,MR,1,1,1
19/03/2012,18/03/2012,1,799,1,,,,,3,MR,1,1,1
23/03/2012,19/03/2012,4,956,1,,,,,7,MR,1,1,1
27/03/2012,23/03/2012,4,1020,1,,,2,,11,MR,1,1,1
31/03/2012,27/03/2012,4,1111,1,,,,2,15,MR,1,1,1
20/04/2012,19/04/2012,1,898,0,,,1,1,4,MR,1,1,1
23/04/2012,20/04/2012,3,804,1,,,,,7,MR,1,1,1
25/04/2012,23/04/2012,2,883,0,,,,,9,MR,1,1,1
29/04/2012,25/04/2012,4,1052,1,,,,2,13,MR,1,1,1
01/05/2012,29/04/2012,2,937,1,,,,,15,MR,1,1,1
04/05/2012,01/05/2012,3,950,0,,,1,,18,LR,1,1,1
06/05/2012,04/05/2012,2,1002,1,,,,,0,LR,1,1,1
11/05/2012,06/05/2012,5,92.00000001,1,,,,,5,LR,1,1,1
14/05/2012,11/05/2012,3,932,1,,,,,8,LR,1,1,1
17/05/2012,14/05/2012,3,996,1,,,,,11,LR,1,1,1
18/05/2012,17/05/2012,1,1113,1,,,,,12,LR,1,1,1
26/05/2012,18/05/2012,8,1049,0,,,2,,20,LR,1,1,1
28/05/2012,26/05/2012,2,1077,0,,,,,22,LR,1,1,1
01/06/2012,28/05/2012,4,960,1,,,,,2,LR,1,1,1
09/06/2012,01/06/2012,8,843,1,,,,,10,LR,1,1,1
11/06/2012,09/06/2012,2,781,0,,,,,12,LR,1,1,1
12/06/2012,11/06/2012,1,1001,0,,,1,,13,LR,1,1,1
13/06/2012,12/06/2012,1,1023,1,,,,,14,LR,1,1,1
17/06/2012,13/06/2012,4,978,1,,,,2,3,LR,1,1,1
20/06/2012,17/06/2012,3,123,0,,,,,6,LR,1,1,1
21/06/2012,20/06/2012,1,0,1,,1,,1,7,LR,1,1,1
26/06/2012,21/06/2012,5,976,0,,,,1,12,LR,1,1,1
04/07/2012,26/06/2012,8,749,1,,,,,5,C,1,1,1
05/07/2012,04/07/2012,1,701,1,,,,,6,C,1,1,1
10/07/2012,05/07/2012,5,837,1,,,,,11,C,1,1,1
10/10/2012,28/09/2012,12,43,0,,,,,12,C,1,1,1
12/12/2012,09/12/2012,3,0,0,,1,,,7,C,1,1,1
14/12/2012,12/12/2012,2,,0,,1,,,0,ER,1,1,1
15/12/2012,14/12/2012,1,621,1,,,,,1,ER,1,1,1
25/12/2012,15/12/2012,10,190,0,,,2,,11,ER,1,1,1
09/01/2013,25/12/2012,15,733,0,,,,,5,ER,1,1,1
20/01/2013,09/01/2013,11,656,0,,,1,1,2,ER,1,1,1
22/01/2013,20/01/2013,2,725,1,289,,1,2,4,ER,1,1,1
23/01/2013,22/01/2013,1,782,1,,,1,,5,ER,1,1,1
26/01/2013,23/01/2013,3,1421,1,,,1,,8,ER,1,1,1
27/01/2013,26/01/2013,1,171,1,,,,,9,ER,1,1,1
01/02/2013,27/01/2013,5,693,0,,,1,,0,ER,1,1,1
02/02/2013,01/02/2013,1,741,1,,,,,1,ER,1,1,1
03/02/2013,02/02/2013,1,782,0,,,,,2,ER,1,1,1
08/02/2013,03/02/2013,5,807,1,,,1,,7,ER,1,1,1
09/02/2013,08/02/2013,1,789,0,,,,,8,ER,1,1,1
13/02/2013,09/02/2013,4,778,0,,,1,,12,ER,1,1,1
16/02/2013,13/02/2013,3,694,1,,,2,2,15,MR,1,1,1
18/02/2013,16/02/2013,2,795,0,,,1,,17,MR,1,1,1
19/02/2013,18/02/2013,1,741,1,,,,,18,MR,1,1,1
24/02/2013,19/02/2013,5,720,0,,,,,3,MR,1,1,1
25/02/2013,24/02/2013,1,807,0,,,1,,4,MR,1,1,1
26/02/2013,25/02/2013,1,875,0,,,,,5,MR,1,1,1
28/02/2013,26/02/2013,2,740,1,,,,,7,MR,1,1,1
02/03/2013,28/02/2013,2,779,1,,,,3,9,MR,1,1,1
03/03/2013,02/03/2013,1,887,0,,,1,1,10,MR,1,1,1
05/03/2013,03/03/2013,2,810,1,,,,,12,MR,1,1,1
07/03/2013,05/03/2013,2,769,1,,,,,14,MR,1,1,1
10/03/2013,07/03/2013,3,787,0,,,,1,17,MR,1,1,1
11/03/2013,10/03/2013,1,901,0,,,,,18,MR,1,1,1
12/03/2013,11/03/2013,1,844,1,,,1,,19,MR,1,1,1
19/04/2013,18/04/2013,1,854,1,,,,2,2,LR,1,1,1
20/04/2013,19/04/2013,1,22.99999999,0,,,,,3,LR,1,1,1
22/04/2013,20/04/2013,2,942,1,,1,,,5,LR,1,1,1
23/04/2013,22/04/2013,1,77,1,,,2,,6,LR,1,1,1
25/04/2013,23/04/2013,2,838,1,,,,,8,LR,1,1,1
26/04/2013,25/04/2013,1,964,0,,,,1,9,LR,1,1,1
30/04/2013,26/04/2013,4,874,1,,,,3,13,LR,1,1,1
02/05/2013,30/04/2013,2,1003,0,,,,,15,LR,1,1,1
04/05/2013,02/05/2013,2,823,1,,,,3,17,LR,1,1,1
05/05/2013,04/05/2013,1,892,1,,1,,,0,LR,1,1,1
14/11/2013,09/11/2013,5,24,0,,,,,2,ER,1,1,1
11/12/2013,14/11/2013,27,564,0,,,,,13,ER,1,1,1
14/12/2013,11/12/2013,3,0,0,,1,,,16,ER,1,1,1
15/12/2013,14/12/2013,1,444,0,,,1,,17,ER,1,1,1
17/12/2013,15/12/2013,2,854,0,,,,,19,ER,1,1,1
18/12/2013,17/12/2013,1,590,0,,,,,20,ER,1,1,1
22/12/2013,18/12/2013,4,631,0,,,,,2,ER,1,1,1
24/12/2013,22/12/2013,2,798,0,,,,,4,ER,1,1,1
27/12/2013,24/12/2013,3,90,0,,,,1,7,ER,1,1,1
30/12/2013,27/12/2013,3,143,0,,,1,,10,ER,1,1,1
01/01/2014,30/12/2013,2,388,0,,,,,12,ER,1,1,1
03/01/2014,01/01/2014,2,602,0,,,,,14,ER,1,1,1
05/01/2014,03/01/2014,2,683,0,,,,,16,ER,1,1,1
09/01/2014,05/01/2014,4,602,0,,,,,2,ER,1,1,1
12/01/2014,09/01/2014,3,630,0,,,,,0,MR,1,1,1
13/01/2014,12/01/2014,1,320,0,,,,,1,MR,1,1,1
14/01/2014,13/01/2014,1,654,0,,,,,2,MR,1,1,1
15/01/2014,14/01/2014,1,693,0,,,,,3,MR,1,1,1
18/01/2014,15/01/2014,3,671,0,,,,,6,MR,1,1,1
19/01/2014,18/01/2014,1,596,0,,,,,7,MR,1,1,1
21/01/2014,19/01/2014,2,664,0,,,,,9,MR,1,1,1
22/01/2014,21/01/2014,1,607,0,,,,,10,MR,1,1,1
23/01/2014,22/01/2014,1,634,0,,,1,,0,MR,1,1,1
24/01/2014,23/01/2014,1,721,0,,,,,1,MR,1,1,1
25/01/2014,24/01/2014,1,573,0,,,,,2,MR,1,1,1
26/01/2014,25/01/2014,1,603,0,,,,,3,MR,1,1,1
27/01/2014,26/01/2014,1,596,0,,,,,4,MR,1,1,1
28/01/2014,27/01/2014,1,651,0,,,,,5,MR,1,1,1
30/01/2014,28/01/2014,2,177,0,,,,,7,MR,1,1,1
02/02/2014,30/01/2014,3,559,0,,,,,10,MR,1,1,1
03/02/2014,02/02/2014,1,378,0,,,,,11,MR,1,1,1
04/02/2014,03/02/2014,1,402,0,,,,,12,MR,1,1,1
06/02/2014,04/02/2014,2,639,0,,,,,14,MR,1,1,1
07/02/2014,06/02/2014,1,525,0,,,,,15,MR,1,1,1
10/02/2014,07/02/2014,3,470,0,,,,,18,MR,1,1,1
14/02/2014,10/02/2014,4,638,0,,,,,2,MR,1,1,1
16/02/2014,14/02/2014,2,643,0,,,1,,4,MR,1,1,1
17/02/2014,16/02/2014,1,671,0,,,,,5,MR,1,1,1
19/02/2014,17/02/2014,2,683,0,,,,,7,MR,1,1,1
21/02/2014,19/02/2014,2,20,0,,,1,,9,MR,1,1,1
22/02/2014,21/02/2014,1,584,0,,,,,10,MR,1,1,1
24/02/2014,22/02/2014,2,0,1,600,1,,,0,MR,1,1,1
27/02/2014,24/02/2014,3,960,0,,,,,3,MR,1,1,1
28/02/2014,27/02/2014,1,389,0,,,,,4,MR,1,1,1
01/03/2014,28/02/2014,1,562,0,,,1,,5,MR,1,1,1
02/03/2014,01/03/2014,1,167,0,,,1,,6,MR,1,1,1
03/03/2014,02/03/2014,1,346,0,,,1,,7,MR,1,1,1
04/03/2014,03/03/2014,1,737,0,,,,,8,MR,1,1,1
06/03/2014,04/03/2014,2,686,1,,,5,,10,MR,1,1,1
07/03/2014,06/03/2014,1,813,1,,,,,11,MR,1,1,1
08/03/2014,07/03/2014,1,279,0,,,1,,12,MR,1,1,1
11/03/2014,08/03/2014,3,799,0,,,,,2,MR,1,1,1
12/03/2014,11/03/2014,1,727,0,,,1,,3,LR,1,1,1
13/03/2014,12/03/2014,1,731,0,,,1,,4,LR,1,1,1
14/03/2014,13/03/2014,1,441,0,,,,,5,LR,1,1,1
15/03/2014,14/03/2014,1,75,0,,,,1,6,LR,1,1,1
16/03/2014,15/03/2014,1,615,1,,,,,7,LR,1,1,1
18/03/2014,16/03/2014,2,701,0,,,,,9,LR,1,1,1
19/03/2014,18/03/2014,1,74.99999999,0,,,2,,10,LR,1,1,1
